question_id,role,ticker,year,report_id,table,table_ordinal,row,column,row_label,column_header,raw,parsed_value,source_section,seed_column_header,source_scale,sign_convention,value_base,raw_occurrences_in_logical_grid,title_context
6,cfo,VSC,2017,VSC_financial_statements_2017_separate,VSC_financial_statements_2017_separate|224,9,19,2,Lưu chuyển tiền thuần từ hoạt động kinh doanh,2017 VND | LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH | 160.075.617.870,145.731.366.146,145731366146.0,,2017 VND | LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,1.0,as_printed,145731366146.0,1,"['Mâu B 03 - DN', '(Ban hành theo Thông tư số 200/2014/TT-BTC', 'ngày 22/12/2014 của Bộ Tài chính)']"
7,value,HT1,2019,HT1_financial_statements_2019_consolidated,HT1_financial_statements_2019_consolidated|292,7,11,3,"9. Quỹ khen thưởng, phúc lợi",Số cuối năm | 4.924.007.629.386 | 4.101.766.139.137,57.764.463.052,57764463052.0,,Số cuối năm,1.0,as_printed,57764463052.0,1,"['BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẮT (tiếp theo)', 'vào ngày 31 tháng 12 năm 2019', 'VND']"
9,value,SAM,2023,SAM_financial_statements_2023_consolidated,SAM_financial_statements_2023_consolidated|1596,59,5,1,Chi phí khác,Năm 2023 | VND | 248.670.332,2.307.758.675,2307758675.0,Năm 2023 | Năm 2022 > VND,Năm 2023 | VND,1.0,as_printed,2307758675.0,1,"['33 . THU NHẬP KHÁC', 'Năm 2023 Năm 2022 VND VND Thu nhập từ nhượng bán, thanh lý tài sản cố định 257.565.364 639.999.999 Thu nhập từ không hoàn trả tiền cọc - 5.000.000.000 Lãi chậm thanh toán 1.985.652.231 1.064.580.760 Thu nhập khác 1.066.015.936 1.297.657.749 3.309.233.531 8.002.238.508', '34 . CHI PHÍ KHÁC']"
12,value,VGT,2024,VGT_financial_statements_2024_separate,VGT_financial_statements_2024_separate|1225,40,3,2,Vốn cổ phần đã phát hànhCổ phiếu phổ thông,31/12/2024 và 1/1/2024 | VND | 5.000.000.000.000,5.000.000.000.000,5000000000000.0,31/12/2024 và 1/1/2024 > Số cổ phiếu | VND,31/12/2024 và 1/1/2024 | VND,1.0,as_printed,5000000000000.0,3,"['ngày 22/12/2014 của Bộ Tài chính)', '22. Vốn cổ phần', 'Vốn cổ phần được duyệt và đã phát hành của Tập đoàn Dệt May Việt Nam như sau:']"
14,value,ASM,2025,ASM_financial_statements_2025_separate,ASM_financial_statements_2025_separate|410,14,10,3,9. Chi phí quản lý doanh nghiệp | VI.06,Năm nay | 2.636.417.329.033 | 9.991.738.203,144.071.806.197,144071806197.0,,Năm nay,1.0,as_printed,144071806197.0,1,"['BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG', 'Cho năm tài chính 2025 kết thúc tại ngày 31/12/2025', 'Đơn vị tính: VND']"
27,cfo,DLG,2024,DLG_financial_statements_2024_separate,DLG_financial_statements_2024_separate|390,9,17,3,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Năm 2024 VND | I. Lưu chuyển tiền từ hoạt động kinh doanh | 186.989.238.027,(150.202.628.445),-150202628445.0,,Năm 2024 VND | I. Lưu chuyển tiền từ hoạt động kinh doanh | Điều chỉnh cho các khoản,1.0,as_printed,-150202628445.0,1,"['BÁO CÁO LUU CHUYÊN TIÊN TÊ', '(Theo phương pháp gián tiếp)', 'Cho năm tài chính kết thúc ngày 31/12/2024']"
40,net_profit,VIB,2020,VIB_financial_statements_2020_consolidated,VIB_financial_statements_2020_consolidated|284,10,5,3,XIII | Lợi nhuận sau thuế,2020 Triệu VND | 5.803.007 | (1.160.511),4.642.334,4642334.0,Thuyết minh | 2020 Triệu VND | 2019 Triệu VND,2020 Triệu VND,1000000.0,as_printed,4642334000000.0,1,"['(Ban hành theo Thông tư số', '49/2014/TT-NHNN ngày 31 tháng 12 năm 2014', 'của Ngân hàng Nhà nước Việt Nam)']"
43,value,ACV,2022,ACV_financial_statements_2022_consolidated,ACV_financial_statements_2022_consolidated|977,21,1,1,Xây dựng Nhà ga Hành khách T2 - Cảng Hàng không Quốc tế (“CHKQT”) Nội Bài,Số cuối năm VND | 12.020.730.385.315 | 334.070.112.544,12.020.730.385.315,12020730385315.0,Số cuối năm VND | Số đầu năm VND,Số cuối năm VND,1.0,as_printed,12020730385315.0,2,"['THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) vào ngày 31 tháng 12 năm 2022 và năm tài chính kết thúc cùng ngày', '12. TÀI SẢN CỔ ĐỊNH HỮU HÌNH (tiếp theo)', 'Công trình tạm tăng nhưng chưa có quyết toán của Tổng công ty:']"
46,value,BAB,2024,BAB_financial_statements_2024_consolidated,BAB_financial_statements_2024_consolidated|1326,53,9,1,Thuế TNDN còn phải nộp cuối năm,Năm 2024 | Triệu VND | Chi phí thuế thu nhập doanh nghiệp hiện hành tại:,86.375,86375.0,,Năm 2024 | Triệu VND | Chi phí thuế thu nhập doanh nghiệp hiện hành tại:,1000000.0,as_printed,86375000000.0,1,"['32 . Chi phí hoạt động', 'Năm 2024 Năm 2023 Triệu VND Triệu VND Chi nộp thuế và các khoản phí, lệ phí 8.561 22.885 Chi phí cho nhân viên 1.403.176 1.099.871 Trong đó: - Chi lương và phụ cấp 1.103.231 832.943 - Các khoản chi đóng góp theo lương 118.355 107.941 - Chi trợ cấp 367 593 - Chi khác cho nhân viên 181.223 158.394 Chi về tài sản 268.834 248.944 Trong đó: - Khấu hao tài sản cố định 50.998 46.447 Chi cho hoạt động quản lý công vụ 30.928 16.689 Trong đó: - Công tác phí 24.316 15.463 - Chi về các hoạt động đoàn thể của TCTD 6.612 1.226 Chi nộp phí bảo hiểm, bảo đảm tiền gửi của khách hàng 172.443 144.229 Chi phí/(Hoàn nhập) dự phòng giảm giá đầu tư dài hạn 1.635 348 Chi phí hoạt động khác 363.695 299.945 2.249.272 1.832.911', '33 . Chi phí thuế thu nhập doanh nghiệp hiện hành']"
49,value,PC1,2018,PC1_financial_statements_2018_consolidated,PC1_financial_statements_2018_consolidated|1534,52,4,1,Chi phí dịch vụ mua ngoài,Năm 2018 | VND | 17.701.072,63.498.634.030,63498634030.0,Năm 2018 | Năm 2017 > VND,Năm 2018 | VND,1.0,as_printed,63498634030.0,1,"['Báo cáo tài chính hợp nhất', 'Cho năm tài chính kết thúc ngày 31/12/2018', '30. CHI PHÍ BÁN HÀNG']"
